"Conference","Count"
"American Midwest Conference",13
"Appalachian Athletic Conference",13
"Association of Independent Institutions",24
"California Pacific Conference",12
"Cascade Collegiate Conference",11
"Chicagoland Collegiate Athletic Conference",15
"Crossroads League",10
"Frontier Conference",7
"Golden State Athletic Conference",9
"Great Plains Athletic Conference",11
"Gulf Coast Athletic Conference",7
"Heart of America Athletic Conference",14
"Kansas Collegiate Athletic Conference",12
"Mid-South Conference",8
"North Star Athletic Association",9
"Red River Athletic Conference",13
"River State Conference",13
"Sooner Athletic Conference",10
"Southern States Athletic Conference",12
"Sun Conference",11
"Wolverineâ€“Hoosier Athletic Conference",12
